transaction_id,user_id,amount,transaction_channel,merchant,device_id,card_type,country,timestamp,prev_timestamp,lat,lon,prev_lat,prev_lon,time_since_last_tx,distance_from_last_tx,km_per_min,device_change,velocity_last_10min,is_night,merchant_risk_score,account_age_days,prior_chargebacks,high_risk_country,is_fraud
1,U0328,194.88,in-store,DesignerHub,DV0013,debit,ZA,2025-01-01 01:16:15,2025-01-01 00:00:00,-22.988849882567912,26.496870933552547,-25.254598811526375,29.408571676918996,4575,388.0304910362722,5.088924472606849,1,9,1,1,704,0,0,0
2,U0072,450.62,online,Supermart,DV0045,prepaid,ZA,2025-01-01 01:57:10,2025-01-01 01:16:15,-24.439300157829642,27.422111536716162,-22.988849882567912,26.496870933552547,2455,186.30019197686747,4.5531615147095925,0,8,1,1,902,0,0,0
3,U0048,47.97,card-not-present,DesignerHub,DV0120,virtual,KE,2025-01-01 02:55:11,2025-01-01 01:57:10,-0.9048230898887297,36.63438852111522,-24.439300157829642,27.422111536716162,3481,2786.633412230163,48.031601474808895,0,1,1,2,166,0,0,0
4,U0367,299.68,card-not-present,ShoeWorld,DV0113,prepaid,UK,2025-01-01 03:10:09,2025-01-01 02:55:11,52.14453384867815,0.24732011013738087,-0.9048230898887297,36.63438852111522,898,6793.310565317472,453.89602886308273,0,8,1,1,1841,0,0,0
5,U0415,116.58,airtime,ShoeWorld,DV0082,prepaid,ZA,2025-01-01 04:09:50,2025-01-01 03:10:09,-19.13113063399483,27.26693723155989,52.14453384867815,0.24732011013738087,3581,8319.755132507318,139.39829878537813,0,8,1,1,934,0,0,0
6,U0080,249.56,online,LuxuryHub,DV0173,virtual,KE,2025-01-01 04:55:00,2025-01-01 04:09:50,-0.7340776433825033,37.191297787707725,-19.13113063399483,27.26693723155989,2710,2305.3316716376216,51.040553615593105,0,6,1,1,211,0,0,0
7,U0050,256.31,online,QuickBuy,DV0177,debit,NG,2025-01-01 05:23:18,2025-01-01 04:55:00,6.514355981076327,3.708570691164703,-0.7340776433825033,37.191297787707725,1698,3805.301269124918,134.46294237190523,0,6,1,1,1114,0,1,0
8,U0236,387.64,card-not-present,ShoeWorld,DV0194,virtual,ZA,2025-01-01 05:57:36,2025-01-01 05:23:18,-22.75645951866207,21.547604230052567,6.514355981076327,3.708570691164703,2058,3776.1735392262603,110.09252300951198,0,0,1,1,1986,0,0,0
9,U0425,70.03,online,GameStore,DV0099,virtual,NG,2025-01-01 06:55:21,2025-01-01 05:57:36,6.684829971358983,3.8924360328902705,-22.75645951866207,21.547604230052567,3465,3782.21725191049,65.49293942702147,0,0,0,1,446,1,1,0
10,U0117,224.25,online,LuxuryHub,DV0041,credit,NG,2025-01-01 07:53:35,2025-01-01 06:55:21,6.809564333979897,3.7026790232288618,6.684829971358983,3.8924360328902705,3494,25.107236021778707,0.43114887272659486,0,5,0,1,840,0,1,0
